OPLA twr 
OPLB TWR 
OQSA SOE 
OQSZ soe 
OSXE OCE 
OSXD oce 
OUSA SOF 
OUSZ sof 
OVXE OCF 
OVXD ocf 
OWXE OEI 
OWXD oei 
OXXE OEJ 
OXXD oej 
P1XE OEK 
P1XD oek 
P2PB AFA 
P2PC afa 
P2PD AFB 
P2PE afb 
P3XE OEL 
P3XD oel 
P4XE OEM 
P4XD oem 
P5XE OEN 
P5XD oen 
P6XE OEO 
P6XD oeo 
P7XE OEP 
P7XD oep 
P8PB AFC 
P8PC afc 
P8PD AFD 
P8PE afd 
PAME BGI 
PAMD bgi 
PBME BGJ 
PBMD bgj 
PCME BCI 
PCMD bci 
PDME BCJ 
PDMD bcj 
PEME BGK 
PEMD bgk 
PFME BGL 
PFMD bgl 
PGME BCK 
PGMD bck 
PHME BCL 
PHMD bcl 
PIME BGM 
PIMD bgm 
PJME BGN 
PJMD bgn 
PKME BCM 
PKMD bcm 
PLME BCN 
PLMD bcn 
PMME BGO 
PMMD bgo 
PNME BGP 
PNMD bgp 
POME BCO 
POMD bco 
PPME BCP 
PPMD bcp 
PQPB AFE 
PQPC afe 
PQPD AFF 
PQPE aff 
PRPB AFG 
PRPC afg 
PRPD AFH 
PRPE afh 
PSPB AFI 
PSPC afi 
PSPD AFJ 
PSPE afj 
PTPB AFK 
PTPC afk 
PTPD AFL 
PTPE afl 
PUKH tcc 
PUKI TCC 
PUKF tcd 
PUKG TCD 
PVHG FBO 
PVHF fbo 
PWHG FBP 
PWHF fbp 
PXKH tdc 
PXKI TDC 
PXKF tdd 
PXKG TDD 
